TITLE="Graphics"
VARIABLES= "t, s", "T0, K", "Ts, K", "Ti, K", "Ts+1, K", "q_d, W", "q_g, W", "dM, kg/s", "rho, kg/m^3", "u_r, m/s", "p, m/(cell size) ", "inter, m" 
0.091 300.24 309.844 320.873 383.459 282301 282301 0 0.564572 0 1.5 0.0005
0.092 300.252 309.91 320.933 383.495 282178 282178 0 0.564519 0 1.5 0.0005
0.093 300.264 309.976 320.993 383.531 282058 282058 0 0.564466 0 1.5 0.0005
0.094 300.277 310.042 321.052 383.567 281938 281938 0 0.564414 0 1.5 0.0005
0.095 300.29 310.108 321.111 383.603 281821 281821 0 0.564361 0 1.5 0.0005
0.096 300.303 310.173 321.171 383.639 281705 281705 0 0.564308 0 1.5 0.0005
0.097 300.317 310.238 321.23 383.675 281590 281590 0 0.564254 0 1.5 0.0005
0.098 300.331 310.303 321.289 383.711 281477 281477 0 0.564201 0 1.5 0.0005
0.099 300.346 310.368 321.347 383.748 281365 281365 0 0.564148 0 1.5 0.0005
0.1 300.361 310.432 321.406 383.784 281255 281255 0 0.564094 0 1.5 0.0005
0.101 300.376 310.497 321.465 383.821 281145 281145 0 0.56404 0 1.5 0.0005
0.102 300.391 310.561 321.523 383.857 281038 281038 0 0.563987 0 1.5 0.0005
0.103 300.407 310.625 321.582 383.894 280931 280931 0 0.563933 0 1.5 0.0005
0.104 300.424 310.689 321.64 383.931 280825 280825 0 0.563879 0 1.5 0.0005
0.105 300.44 310.753 321.698 383.968 280721 280721 0 0.563825 0 1.5 0.0005
0.106 300.457 310.816 321.756 384.004 280618 280618 0 0.56377 0 1.5 0.0005
0.107 300.475 310.88 321.814 384.041 280516 280516 0 0.563716 0 1.5 0.0005
0.108 300.492 310.943 321.872 384.078 280416 280416 0 0.563662 0 1.5 0.0005
0.109 300.511 311.006 321.929 384.116 280316 280316 0 0.563607 0 1.5 0.0005
0.11 300.529 311.069 321.987 384.153 280217 280217 0 0.563553 0 1.5 0.0005
0.111 300.548 311.132 322.044 384.19 280120 280120 0 0.563498 0 1.5 0.0005
0.112 300.567 311.195 322.102 384.227 280023 280023 0 0.563443 0 1.5 0.0005
0.113 300.587 311.257 322.159 384.265 279927 279927 0 0.563389 0 1.5 0.0005
0.114 300.607 311.32 322.216 384.302 279833 279833 0 0.563334 0 1.5 0.0005
0.115 300.627 311.382 322.273 384.339 279739 279739 0 0.563279 0 1.5 0.0005
0.116 300.647 311.444 322.33 384.377 279646 279646 0 0.563224 0 1.5 0.0005
0.117 300.668 311.506 322.387 384.414 279555 279555 0 0.563169 0 1.5 0.0005
